日期(年),能源總供給_煤及煤產品,能源總供給_原油及石油產品,能源總供給_天然氣,能源總供給_核能,能源總供給_再生能源_小計
2002,34436,56149,7789,11453,1656
2003,36333,61988,8039,11261,1948
2004,40000,69480,9780,11435,2001
2005,39750,70702,9860,11574,2090
2006,41217,71230,10576,11545,2148
2007,43311,75368,11221,11738,2259
2008,42188,69932,12196,11822,2307
2009,38539,70582,11911,12037,2185
2010,42236,70265,14789,12054,2322
2011,44001,62846,16258,12195,2376
2012,42535,66659,17087,11704,2565
2013,44044,67073,17053,12057,2583
2014,43941,70455,18026,12274,2449
2015,43379,69129,19280,10560,2511
2016,43037,70307,20030,9168,2670
2017,44247,69696,22208,6499,2579
2018,43755,70151,22606,8014,2647
2019,44304,67944,22222,9359,2893
2020,41601,59468,23774,9104,2873
2021,44368,61057,26073,8046,3082
2022,41622,61283,26814,6878,3643
