年度,月份,度數(千度)
95,,1
96,,41
97,,280
98,,1080
99,01,62
99,02,104
99,03,117
99,04,188
99,05,142
99,06,208
99,07,195
99,08,305
99,09,203
99,10,362
99,11,183
99,12,248
100,01,332
100,02,373
100,03,679
100,04,590
100,05,910
100,06,1915
100,07,3178
100,08,4068
100,09,8243
100,10,3137
100,11,3092
100,12,6080
101,01,4788
101,02,7461
101,03,9507
101,04,9438
101,05,11240
101,06,13422
101,07,10666
101,08,10385
101,09,12494
101,10,13568
101,11,13286
101,12,10841
102,01,11584
102,02,12432
102,03,17721
102,04,16441
102,05,23674
102,06,22264
102,07,31486
102,08,26282
102,09,28149
102,10,31696
102,11,34868
102,12,27615
103,01,26722
103,02,26776
103,03,33079
103,04,40171
103,05,40042
103,06,46725
103,07,45906
103,08,46420
103,09,50742
103,10,51192
103,11,43215
103,12,38627
104,01,42206
104,02,42357
104,03,54141
104,04,67026
104,05,80340
104,06,78163
104,07,86773
104,08,73007
104,09,70103
104,10,74139
104,11,65935
104,12,62239
105,01,51036
105,02,54075
105,03,64019
105,04,72240
105,05,100080
105,06,104381
105,07,110548
105,08,117470
105,09,100950
105,10,89770
105,11,92240
105,12,90169
106,01,75896
106,02,88847
106,03,105269
106,04,127667
106,05,140151
106,06,146935
106,07,161877
106,08,168476
106,09,166407
106,10,153444
106,11,137209
106,12,119860
107,01,106245
107,02,111558
107,03,170864
107,04,203183
107,05,238921
107,06,264783
107,07,244359
107,08,279481
107,09,258005
107,10,259670
107,11,232404
107,12,212192
108,01,187670
108,02,209751
108,03,245059
108,04,263804
108,05,300478
108,06,310066
108,07,341375
108,08,329110
108,09,361172
108,10,381952
108,11,342755
108,12,289747
109,01,284339
109,02,417058
109,03,442878
109,04,460984
109,05,489633
109,06,512229
109,07,583171
109,08,545820
109,09,515029
109,10,575850
109,11,557057
109,12,366652
110,01,415451
110,02,365881
110,03,521545
110,04,611099
110,05,719215
110,06,630072
110,07,790861
110,08,631018
110,09,744568
110,10,839986
110,11,633742
110,12,568896
111,01,453054
111,02,522587
111,03,597712
111,04,810736
111,05,843006
111,06,782941
111,07,1129653
111,08,978698
111,09,1118317
111,10,1077758
111,11,861209
111,12,970486
112,01,606011
112,02,765069
112,03,835818
112,04,1122796
112,05,1099842
112,06,1167531
112,07,1280220
112,08,1174515
112,09,1309291
112,10,1135858
112,11,916485
112,12,893950
113,01,778544
113,02,933923
113,03,1075334
