日期(年),單位,再生能源發電裝置_合計,再生能源發電裝置_慣常水力,再生能源發電裝置_地熱,再生能源發電裝置_太陽光電,再生能源發電裝置_風力_小計,再生能源發電裝置_風力_陸域,再生能源發電裝置_風力_離岸,再生能源發電裝置_生質能_小計,再生能源發電裝置_生質能_固態,再生能源發電裝置_生質能_氣態,再生能源發電裝置_廢棄物,再生能源裝設容量_太陽能熱水器裝設面積(千平方公尺)
2002,千瓩,2550,1909,0,0,9,9,0,120,98,22,512,160
2003,千瓩,2529,1909,0,0,9,9,0,99,77,22,512,240
2004,千瓩,2558,1910,0,1,9,9,0,98,77,20,542,337
2005,千瓩,2608,1910,0,1,24,24,0,90,73,16,584,452
2006,千瓩,2711,1910,0,1,102,102,0,88,73,15,609,567
2007,千瓩,2819,1921,0,2,186,186,0,87,73,14,622,682
2008,千瓩,2903,1938,0,6,250,250,0,87,73,14,622,800
2009,千瓩,3030,1937,0,10,374,374,0,87,73,14,622,900
2010,千瓩,3197,1977,0,35,476,476,0,87,73,14,622,1036
2011,千瓩,3399,2041,0,130,523,523,0,81,73,8,624,1157
2012,千瓩,3594,2081,0,231,571,571,0,81,73,8,629,1278
2013,千瓩,3816,2081,0,410,614,614,0,81,73,8,629,1388
2014,千瓩,4065,2081,0,636,637,637,0,81,73,8,629,1505
2015,千瓩,4329,2089,0,884,647,647,0,80,71,9,629,1620
2016,千瓩,4726,2089,0,1245,682,682,0,80,71,9,629,1716
2017,千瓩,5259,2089,0,1768,692,684,8,80,71,9,629,1813
2018,千瓩,6255,2091,0,2738,713,705,8,81,71,10,632,1853
2019,千瓩,7798,2092,0,4150,845,717,128,79,71,8,632,1882
2020,千瓩,9566,2093,0,5817,937,809,128,86,71,16,632,1862
2021,千瓩,11610,2094,5,7700,1094,825,269,85,71,14,632,1239
2022,千瓩,14133,2098,5,9724,1581,836,745,92,71,22,632,0
