日期(年),單位,能源總供給,能源總供給_煤及煤產品,能源總供給_原油及石油產品,能源總供給_天然氣,能源總供給_核能,能源總供給_再生能源_小計,能源總供給_再生能源_生質能及廢棄物,能源總供給_再生能源_慣常水力,能源總供給_再生能源_地熱,能源總供給_再生能源_太陽光電,能源總供給_再生能源_風力,能源總供給_再生能源_太陽熱能,自產能源_合計,自產能源_煙煤-煉焦煤,自產能源_煙煤-燃料煤,自產能源_原油,自產能源_煉油廠進料,自產能源_(自產)天然氣,自產能源_再生能源_小計,自產能源_再生能源_生質能及廢棄物,自產能源_再生能源_慣常水力,自產能源_再生能源_地熱,自產能源_再生能源_太陽光電,自產能源_再生能源_風力,自產能源_再生能源_太陽熱能,進口能源_合計,進口能源_煙煤-煉焦煤,進口能源_煙煤-燃料煤,進口能源_無煙煤,進口能源_亞煙煤,進口能源_焦炭,進口能源_原油,進口能源_石油產品,進口能源_液化天然氣,進口能源_生質能及廢棄物,進口能源_核能
2002,千公秉油當量,111483,34436,56149,7789,11453,1656,1304,266,0,0,2,84,2498,0,0,51,3,788,1656,1304,266,0,0,2,84,108985,4106,26986,119,2880,345,45659,10436,7001,0,11453
2003,千公秉油當量,119569,36333,61988,8039,11261,1948,1567,290,0,0,2,88,2756,0,0,46,25,739,1948,1567,290,0,0,2,88,116812,4108,28724,368,2835,298,51738,10180,7301,0,11261
2004,千公秉油當量,132696,40000,69480,9780,11435,2001,1599,307,0,0,2,93,2782,0,0,45,29,707,2001,1599,307,0,0,2,93,129913,3955,32465,189,3151,239,58446,10960,9073,0,11435
2005,千公秉油當量,133977,39750,70702,9860,11574,2090,1595,389,0,0,9,98,2630,0,0,32,20,487,2090,1595,389,0,0,9,98,131347,3889,32431,135,3138,157,60640,10010,9373,0,11574
2006,千公秉油當量,136715,41217,71230,10576,11545,2148,1628,391,0,0,26,102,2611,0,0,24,28,412,2148,1628,391,0,0,26,102,134104,3795,34060,95,3004,263,57999,13179,10164,0,11545
2007,千公秉油當量,143898,43311,75368,11221,11738,2259,1689,422,0,0,42,105,2686,0,0,18,39,371,2259,1689,422,0,0,42,105,141212,3501,35520,315,3543,433,57473,17838,10850,0,11738
2008,千公秉油當量,138445,42188,69932,12196,11822,2307,1730,411,0,0,56,110,2710,0,0,16,69,318,2307,1730,411,0,0,56,110,135735,3705,34050,116,4005,312,52945,16901,11879,0,11822
2009,千公秉油當量,135255,38539,70582,11911,12037,2185,1638,358,0,1,75,113,2570,0,0,16,57,312,2185,1638,358,0,1,75,113,132685,3164,31281,82,3953,59,54879,15631,11599,0,12037
2010,千公秉油當量,141666,42236,70265,14789,12054,2322,1707,401,0,2,98,114,2654,0,0,14,54,263,2322,1707,401,0,2,98,114,139012,4320,33676,111,3978,151,50850,19346,14526,0,12054
2011,千公秉油當量,137677,44001,62846,16258,12195,2376,1732,382,0,6,143,113,2733,0,0,11,52,293,2376,1732,382,0,6,143,113,134944,4720,31835,296,7070,80,46129,16653,15965,0,12195
2012,千公秉油當量,140551,42535,66659,17087,11704,2565,1759,542,0,15,135,114,3017,0,0,11,48,393,2565,1759,542,0,15,135,114,137534,4299,29053,216,8785,183,51360,15240,16694,0,11704
2013,千公秉油當量,142809,44044,67073,17053,12057,2583,1764,518,0,31,157,113,2976,0,0,11,45,339,2582,1764,518,0,31,157,113,139833,5239,31157,235,7277,136,48582,18436,16714,0,12057
2014,千公秉油當量,147144,43941,70455,18026,12274,2449,1730,413,0,51,143,112,2856,0,0,9,61,337,2449,1730,413,0,51,143,112,144288,5351,31010,199,7246,135,50083,20301,17689,0,12274
2015,千公秉油當量,144859,43379,69129,19280,10560,2511,1743,427,0,81,146,114,2935,0,0,9,83,332,2511,1743,427,0,81,146,114,141924,4989,31719,275,6250,145,48822,20216,18948,0,10560
2016,千公秉油當量,145213,43037,70307,20030,9168,2670,1686,627,0,106,139,112,3042,0,0,8,78,286,2670,1686,627,0,106,139,112,142170,5126,30690,224,6841,156,49828,20393,19744,0,9168
2017,千公秉油當量,145229,44247,69696,22208,6499,2579,1622,520,0,159,165,113,2904,0,0,5,84,236,2579,1622,520,0,159,165,113,142325,5140,31986,178,6730,213,49472,20134,21972,0,6499
2018,千公秉油當量,147174,43755,70151,22606,8014,2647,1692,428,0,258,163,105,2892,0,0,5,74,176,2638,1683,428,0,258,163,105,144282,5506,31490,206,6319,234,51075,18997,22431,9,8014
2019,千公秉油當量,146722,44304,67944,22222,9359,2893,1697,530,1,384,181,101,3110,0,0,4,73,149,2885,1689,530,1,384,181,101,143612,5583,31828,271,6419,202,51570,16297,22073,8,9359
2020,千公秉油當量,136819,41601,59468,23774,9104,2873,1677,288,2,580,221,104,3044,0,0,2,80,94,2869,1673,288,2,580,221,104,133775,5117,29650,267,6373,193,42916,16470,23681,4,9104
2021,千公秉油當量,142625,44368,61057,26073,8046,3082,1684,332,9,762,216,80,3278,0,0,2,96,98,3082,1684,332,9,762,216,80,139347,5559,32447,198,6008,155,44259,16700,25975,0,8046
2022,千公秉油當量,140240,41622,61283,26814,6878,3643,1702,558,24,1020,339,0,3834,0,0,2,104,85,3643,1702,558,24,1020,339,0,136406,5339,29586,66,6468,163,47214,13963,26729,0,6878
