所屬縣市,2017,2018,2019,2020,2021,2022,2023,2024
南投,0.0,0.0,0.0,0.0,1269497.0,1151900.0,1092996.0,251334.0
台中,11371825.0,11194894.0,10277418.0,10831099.0,11036173.0,12381321.0,11512361.0,2924201.0
台南,0.0,220584.0,2601171.0,2777932.0,231795641.0,222803086.0,231481221.0,59407361.0
嘉義,43815.0,35815.0,26315.0,25220.0,23410.0,31750.0,536186.0,194431.0
屏東,2005402.0,1887995.0,1830161.0,1895614.0,1730785.0,1597226.0,1379127.0,389535.0
彰化,0.0,189855.0,91880792.0,148520972.0,142043332.0,142689130.0,126951592.0,27408382.0
新北,0.0,0.0,0.0,0.0,229538.0,334850.0,361240.0,72458.0
新竹,0.0,122090.0,273107.0,290048.0,299544.0,270346.0,242067.0,57424.0
桃園,783360.0,962959.0,2587752.0,2703744.0,5015846.0,5657049.0,6008341.0,1152826.0
澎湖,230456.0,312363.0,501387.0,502223.0,489775.0,1395758.0,1400387.0,280008.0
苗栗,47671.0,45844.0,43938.0,41823.0,574525.0,930143.0,942880.0,198142.0
蘭嶼,0.0,0.0,0.0,0.0,77162.0,70600.0,73881.0,17140.0
金門,633094.0,571109.0,509365.0,642963.0,1030660.0,917392.0,870811.0,206638.0
馬祖,0.0,0.0,0.0,0.0,83992.0,76496.0,84009.0,16140.0
高雄,9028756.0,8926055.0,9619104.0,9976346.0,11723175.0,12379383.0,10973431.0,2948028.0
