核准年月,行業代碼,行業名稱,件數,金額-千美元
4112,C11,紡織業,3,961
4112,C18,化學材料製造業,1,8
4112,C25,金屬製品製造業,1,98
4212,A03,漁業,1,110
4212,C08,食品製造業,2,671
4212,C11,紡織業,2,347
4212,C13,皮革、毛皮及其製品製造業,3,91
4212,C18,化學材料製造業,1,2
4212,C23,非金屬礦物製品製造業,1,312
4212,C29,機械設備製造業,2,17
4212,D35,電力及燃氣供應業,0,206
4212,I56,餐飲業,1,58
4212,M69,法律及會計服務業,1,1881
4312,C08,食品製造業,4,2045
4312,C18,化學材料製造業,1,14
4312,C29,機械設備製造業,1,50
4312,D35,電力及燃氣供應業,2,83
4312,H54,郵政及快遞業,0,28
4412,A03,漁業,1,5
4412,C13,皮革、毛皮及其製品製造業,1,30
4412,C18,化學材料製造業,2,4423
4412,C23,非金屬礦物製品製造業,1,141
4512,C08,食品製造業,4,507
4512,C11,紡織業,2,1115
4512,C13,皮革、毛皮及其製品製造業,1,52
4512,C15,紙漿、紙及紙製品製造業,2,360
4512,C18,化學材料製造業,2,961
4512,C21,橡膠製品製造業,1,100
4512,C23,非金屬礦物製品製造業,1,96
4512,D35,電力及燃氣供應業,2,302
4612,A01,農、牧業,1,350
4612,C08,食品製造業,1,100
4612,C13,皮革、毛皮及其製品製造業,1,22
4612,C14,木竹製品製造業,0,86
4612,C18,化學材料製造業,5,417
4612,C23,非金屬礦物製品製造業,2,335
4612,D35,電力及燃氣供應業,1,3
4612,F41,建築工程業,1,11
4612,H54,郵政及快遞業,1,172
4612,M69,法律及會計服務業,1,126
4712,A01,農、牧業,1,55
4712,A03,漁業,1,47
4712,B05,石油及天然氣礦業,1,73
4712,C11,紡織業,1,149
4712,C13,皮革、毛皮及其製品製造業,0,3
4712,C15,紙漿、紙及紙製品製造業,1,379
4712,C23,非金屬礦物製品製造業,2,337
4712,C28,電力設備製造業,2,1043
4712,H54,郵政及快遞業,0,432
4812,C08,食品製造業,1,100
4812,C11,紡織業,0,333
4812,C23,非金屬礦物製品製造業,0,82
4812,D35,電力及燃氣供應業,1,153
4812,I56,餐飲業,0,297
4912,A03,漁業,1,67
4912,C11,紡織業,2,2316
4912,C18,化學材料製造業,8,12452
4912,C29,機械設備製造業,2,294
4912,D35,電力及燃氣供應業,1,150
4912,H54,郵政及快遞業,0,10
4912,M69,法律及會計服務業,0,184
5012,C08,食品製造業,2,170
5012,C11,紡織業,1,384
5012,C13,皮革、毛皮及其製品製造業,1,130
5012,C18,化學材料製造業,6,4608
5012,C23,非金屬礦物製品製造業,2,172
5012,C25,金屬製品製造業,0,323
5012,C28,電力設備製造業,2,1156
5012,D35,電力及燃氣供應業,5,233
5012,F41,建築工程業,5,1923
5012,H54,郵政及快遞業,3,230
5012,K64,金融中介業,0,2067
5012,M69,法律及會計服務業,2,2908
5112,A01,農、牧業,1,36
5112,C08,食品製造業,5,95
5112,C11,紡織業,1,440
5112,C15,紙漿、紙及紙製品製造業,1,78
5112,C18,化學材料製造業,15,2408
5112,C21,橡膠製品製造業,3,75
5112,C25,金屬製品製造業,1,411
5112,C28,電力設備製造業,4,851
5112,D35,電力及燃氣供應業,1,70
5112,F41,建築工程業,1,24
5112,H54,郵政及快遞業,1,13
5112,K64,金融中介業,1,353
5112,M69,法律及會計服務業,1,349
5212,A01,農、牧業,1,16
5212,A03,漁業,2,887
5212,C08,食品製造業,13,6000
5212,C11,紡織業,0,54
5212,C14,木竹製品製造業,1,38
5212,C18,化學材料製造業,6,8613
5212,C21,橡膠製品製造業,4,383
5212,C23,非金屬礦物製品製造業,2,207
5212,C25,金屬製品製造業,1,328
5212,C28,電力設備製造業,1,625
5212,C29,機械設備製造業,2,354
5212,D35,電力及燃氣供應業,1,45
5212,H54,郵政及快遞業,1,101
5212,I56,餐飲業,2,299
5212,M69,法律及會計服務業,1,100
5312,A01,農、牧業,1,285
5312,A03,漁業,1,148
5312,C08,食品製造業,11,3760
5312,C11,紡織業,2,513
5312,C13,皮革、毛皮及其製品製造業,4,594
5312,C14,木竹製品製造業,1,403
5312,C15,紙漿、紙及紙製品製造業,1,25
5312,C18,化學材料製造業,4,1250
5312,C23,非金屬礦物製品製造業,1,120
5312,C25,金屬製品製造業,1,691
5312,C28,電力設備製造業,2,771
5312,C29,機械設備製造業,1,1706
5312,D35,電力及燃氣供應業,5,348
5312,F41,建築工程業,2,8229
5312,H54,郵政及快遞業,0,105
5312,I56,餐飲業,0,88
5312,M69,法律及會計服務業,4,861
5412,A03,漁業,2,1105
5412,C08,食品製造業,4,753
5412,C11,紡織業,3,503
5412,C13,皮革、毛皮及其製品製造業,9,2167
5412,C14,木竹製品製造業,1,254
5412,C15,紙漿、紙及紙製品製造業,1,13
5412,C18,化學材料製造業,9,10061
5412,C21,橡膠製品製造業,3,463
5412,C23,非金屬礦物製品製造業,6,195
5412,C25,金屬製品製造業,3,344
5412,C28,電力設備製造業,6,21377
5412,D35,電力及燃氣供應業,7,1129
5412,F41,建築工程業,7,2467
5412,H54,郵政及快遞業,1,128
5412,I56,餐飲業,2,522
5412,K64,金融中介業,0,79
5412,M69,法律及會計服務業,2,50
5512,A03,漁業,1,294
5512,C08,食品製造業,2,533
5512,C11,紡織業,3,1832
5512,C13,皮革、毛皮及其製品製造業,4,330
5512,C14,木竹製品製造業,6,618
5512,C15,紙漿、紙及紙製品製造業,2,237
5512,C18,化學材料製造業,12,585
5512,C21,橡膠製品製造業,4,178
5512,C23,非金屬礦物製品製造業,6,626
5512,C25,金屬製品製造業,10,1061
5512,C28,電力設備製造業,22,15381
5512,C29,機械設備製造業,4,387
5512,D35,電力及燃氣供應業,14,2854
5512,F41,建築工程業,2,93
5512,H54,郵政及快遞業,1,274
5512,I56,餐飲業,1,100
5512,K64,金融中介業,4,535
5512,M69,法律及會計服務業,5,3363
5612,A01,農、牧業,0,200
5612,A03,漁業,3,670
5612,C08,食品製造業,7,2039
5612,C11,紡織業,3,1541
5612,C13,皮革、毛皮及其製品製造業,34,6186
5612,C14,木竹製品製造業,4,282
5612,C15,紙漿、紙及紙製品製造業,6,1143
5612,C18,化學材料製造業,10,6595
5612,C21,橡膠製品製造業,30,2078
5612,C23,非金屬礦物製品製造業,6,2958
5612,C25,金屬製品製造業,33,5873
5612,C28,電力設備製造業,30,14559
5612,C29,機械設備製造業,8,4642
5612,D35,電力及燃氣供應業,19,1598
5612,F41,建築工程業,3,1062
5612,H54,郵政及快遞業,5,4249
5612,I56,餐飲業,4,481
5612,M69,法律及會計服務業,7,850
5712,A01,農、牧業,1,137
5712,A03,漁業,1,350
5712,C08,食品製造業,12,2144
5712,C11,紡織業,13,3253
5712,C13,皮革、毛皮及其製品製造業,41,5354
5712,C14,木竹製品製造業,14,1000
5712,C15,紙漿、紙及紙製品製造業,5,775
5712,C18,化學材料製造業,13,14434
5712,C21,橡膠製品製造業,39,3980
5712,C23,非金屬礦物製品製造業,26,3330
5712,C25,金屬製品製造業,26,2727
5712,C28,電力設備製造業,25,26993
5712,C29,機械設備製造業,9,1650
5712,D35,電力及燃氣供應業,31,1310
5712,F41,建築工程業,39,6450
5712,H54,郵政及快遞業,6,3470
5712,I56,餐飲業,8,414
5712,K64,金融中介業,1,3916
5712,M69,法律及會計服務業,11,8327
5812,A01,農、牧業,2,40
5812,A03,漁業,4,595
5812,B05,石油及天然氣礦業,1,310
5812,C08,食品製造業,8,1913
5812,C11,紡織業,12,4353
5812,C13,皮革、毛皮及其製品製造業,18,1760
5812,C14,木竹製品製造業,3,125
5812,C15,紙漿、紙及紙製品製造業,3,593
5812,C18,化學材料製造業,15,3490
5812,C21,橡膠製品製造業,15,3288
5812,C23,非金屬礦物製品製造業,8,717
5812,C25,金屬製品製造業,18,2004
5812,C28,電力設備製造業,35,64766
5812,C29,機械設備製造業,11,3349
5812,D35,電力及燃氣供應業,19,3138
5812,F41,建築工程業,7,1818
5812,H54,郵政及快遞業,3,1125
5812,I56,餐飲業,6,198
5812,K64,金融中介業,1,1187
5812,M69,法律及會計服務業,12,14668
5912,A01,農、牧業,2,455
5912,A03,漁業,3,201
5912,C08,食品製造業,4,1190
5912,C11,紡織業,7,4177
5912,C13,皮革、毛皮及其製品製造業,12,3346
5912,C14,木竹製品製造業,3,250
5912,C15,紙漿、紙及紙製品製造業,0,256
5912,C18,化學材料製造業,8,10638
5912,C21,橡膠製品製造業,13,1891
5912,C23,非金屬礦物製品製造業,3,5920
5912,C25,金屬製品製造業,10,3516
5912,C28,電力設備製造業,33,73832
5912,C29,機械設備製造業,6,3090
5912,D35,電力及燃氣供應業,22,9616
5912,F41,建築工程業,5,1336
5912,H54,郵政及快遞業,2,3137
5912,I56,餐飲業,8,362
5912,K64,金融中介業,3,2251
5912,M69,法律及會計服務業,7,14402
6012,A01,農、牧業,0,6
6012,A03,漁業,1,82
6012,C08,食品製造業,1,221
6012,C11,紡織業,11,6752
6012,C13,皮革、毛皮及其製品製造業,13,3029
6012,C14,木竹製品製造業,2,235
6012,C15,紙漿、紙及紙製品製造業,2,620
6012,C18,化學材料製造業,7,13673
6012,C21,橡膠製品製造業,12,7442
6012,C23,非金屬礦物製品製造業,2,317
6012,C25,金屬製品製造業,6,67530
6012,C28,電力設備製造業,15,32972
6012,C29,機械設備製造業,8,2686
6012,D35,電力及燃氣供應業,12,2187
6012,F41,建築工程業,8,16742
6012,H54,郵政及快遞業,0,144
6012,I56,餐飲業,11,524
6012,K64,金融中介業,15,9254
6012,M69,法律及會計服務業,6,1792
6112,A01,農、牧業,1,87
6112,A03,漁業,11,1318
6112,C08,食品製造業,6,726
6112,C11,紡織業,2,2898
6112,C13,皮革、毛皮及其製品製造業,17,1961
6112,C14,木竹製品製造業,8,1314
6112,C15,紙漿、紙及紙製品製造業,1,597
6112,C18,化學材料製造業,6,3883
6112,C21,橡膠製品製造業,22,4982
6112,C23,非金屬礦物製品製造業,4,156
6112,C25,金屬製品製造業,9,3327
6112,C28,電力設備製造業,26,19720
6112,C29,機械設備製造業,5,40058
6112,D35,電力及燃氣供應業,12,2592
6112,F41,建築工程業,6,1866
6112,H54,郵政及快遞業,5,1508
6112,I56,餐飲業,17,690
6112,K64,金融中介業,0,31429
6112,M69,法律及會計服務業,7,7544
6212,A03,漁業,10,1596
6212,B05,石油及天然氣礦業,1,49
6212,C08,食品製造業,10,1652
6212,C11,紡織業,12,16026
6212,C13,皮革、毛皮及其製品製造業,23,7499
6212,C14,木竹製品製造業,18,3289
6212,C15,紙漿、紙及紙製品製造業,5,1814
6212,C18,化學材料製造業,24,28864
6212,C21,橡膠製品製造業,26,6995
6212,C23,非金屬礦物製品製造業,15,28197
6212,C25,金屬製品製造業,33,11029
6212,C28,電力設備製造業,59,75748
6212,C29,機械設備製造業,22,43818
6212,D35,電力及燃氣供應業,22,3725
6212,F41,建築工程業,12,3717
6212,H54,郵政及快遞業,7,2914
6212,I56,餐飲業,39,2504
6212,K64,金融中介業,1,1698
6212,M69,法律及會計服務業,12,11360
6312,A01,農、牧業,1,20
6312,A03,漁業,1,225
6312,C08,食品製造業,7,3796
6312,C11,紡織業,6,10720
6312,C13,皮革、毛皮及其製品製造業,8,1898
6312,C14,木竹製品製造業,3,2265
6312,C15,紙漿、紙及紙製品製造業,6,5406
6312,C18,化學材料製造業,16,18595
6312,C21,橡膠製品製造業,8,2557
6312,C23,非金屬礦物製品製造業,15,36210
6312,C25,金屬製品製造業,18,6587
6312,C28,電力設備製造業,37,69652
6312,C29,機械設備製造業,11,8174
6312,D35,電力及燃氣供應業,6,1605
6312,F41,建築工程業,7,4976
6312,H54,郵政及快遞業,6,4050
