年度/Year,月份/Month,日期/Date,石門風電/Shimen Wind Power,林口風電/Linkou Wind Power,蘆竹風電/Luzhu Wind Power,觀園風電/Guanyuan Wind Power,大潭風電/Datan Wind Power,新竹香山風電/Hsinchu Xiangshan Wind Power,台中港區風電/Taichung Harbor Wind Power,台中電廠風電/Taichung Power Plant Wind Power,彰工風電/Changgong Wind Power,彰化王功風電/Changhua Wanggong Wind Power,彰化永興風電/Changhua Yongxing Wind Power,雲林麥寮風電/Yunlin Mailiao Wind Power,雲林四湖風電/Yunlin Sihu Wind Power,恆春風電/Hengchun Wind Power,中屯風電/Zhongtun Wind Power,澎湖湖西風電/Penghu Huxi Wind Power,金沙風電/Jinsha Wind Power,龍門風電/Longmen Wind Power,每日發電量(度)/Daily Power Generation(kWh)
2017,1,1,10830,45996,30740,194338,69259,62544,90810,7440,277783,97942,0,140483,98012,44219,54144,68795,25192,0,1318527
2017,1,2,608,"7,088","11,571",111534,41723,54384,"99,591",6770,310151,87914,0,144333,88370,"19,994",17300,26541,"1,555",0,1029427
2017,1,3,"16,168","74,412","72,650",630146,196136,21280,"302,611",20380,564306,282107,0,419911,247427,"36,265",49044,104056,"26,236",0,"3,063,135"
2017,1,4,"8,192","42,748","56,673",460849,119374,0,"60,529",4740,296746,105855,0,194355,127726,"21,724",29332,48014,"4,030",0,"1,580,887"
2017,1,5,770,592,"1,190",14222,4463,0,979,260,21055,12083,0,17388,24395,"17,201",5723,6028,955,0,127304
2017,1,6,"2,949","21,208","28,299",218704,66066,0,"97,692",6200,308536,94216,0,135733,97549,"15,261",26904,25895,"8,069",0,1153281
2017,1,7,1595,268,"1,175",21659,7156,0,"9,108",1330,61048,21478,0,23078,23274,10563,8709,8464,322,0,199227
2017,1,8,4910,"49,128","52,693",306125,107251,0,"202,500",14540,612190,182512,0,324642,162460,"3,179",42109,40597,"19,776",0,"2,124,612"
2017,1,9,"20,939","114,724","137,457",634379,264127,34291,"423,144",31510,1307831,449962,0,797780,471638,"86,331",95294,121272,"64,260",0,5054939
2017,1,10,"17,663","53,584","74,931",561818,190309,15480,"316,851",25830,1219124,400675,0,663558,367346,38332,92937,109904,"50,176",0,"4,198,518"
2017,1,11,31080,"112,496","143,310",624394,295664,22309,"292,650",24940,1074516,378098,0,606865,351839,0,95195,115192,"48,294",0,4216842
2017,1,12,18648,"86,104","85,268",522646,143360,20568,"260,725",21360,910486,310634,0,482835,246893,0,84127,83710,"19,215",0,"3,296,579"
2017,1,13,"21,306","111,724","145,301",682293,281834,28944,"430,802",34470,1294053,484251,0,823541,440712,39163,87245,117038,"56,061",0,5078738
2017,1,14,24535,"98,360","161,434",641150,303912,29952,"474,200",36810,1376331,537397,0,897651,513830,107166,79872,125865,"93,608",0,"5,502,073"
2017,1,15,"24,820","106,544","137,941",592995,278597,30072,"410,825",28990,1308172,452618,0,727168,409610,"96,776",67079,123091,"80,104",0,"4,875,402"
2017,1,16,"24,212","100,588","118,468",552540,287324,47424,"317,346",24250,1114573,390215,0,612267,337594,"55,397",79642,114476,"63,948",0,"4,240,264"
2017,1,17,10280,"34,972","43,825",403364,159370,47424,"182,619",16310,798738,102554,0,484645,326322,"32,399",86714,94576,"38,237",0,2862349
2017,1,18,1437,"9,140","15,262",130480,45271,12110,"228,255",18130,852614,292538,0,405446,230731,12668,53674,50266,"7,292",0,"2,365,314"
2017,1,19,6367,"28,720","32,768",202595,56889,6083,"230,969",18440,875217,111020,0,471660,246998,1080,60566,55983,"15,530",0,2420885
2017,1,20,"28,912","137,444","165,019",684678,317428,0,"493,592",45160,1327575,555060,0,959380,637181,61164,95697,122099,"81,372",0,5711761
2017,1,21,"13,198","80,420","97,716",563634,219583,0,"471,345",39756,1371298,537783,0,931781,563377,"82,185",91980,103198,"57,820",0,5225074
2017,1,22,"19,623","121,196","139,812",675779,288939,0,"478,215",28914,1286681,540388,0,878288,575134,85818,86443,89183,"70,208",0,5364621
2017,1,23,"29,742","106,804","139,640",613443,306973,20000,"325,077",26888,1201196,413908,0,648277,337420,"105,761",86908,88500,"90,412",0,"4,540,949"
